Kode Sub Kanca;Sub Kanca;SEGMENT;Kode Kanca;Kanca;Kanwil;Kode Kanwil
4219;UNIT WIDASARI JATIBARANG;MIKRO;165;KC Jatibarang ;Bandung ;F
4219;UNIT WIDASARI JATIBARANG;MIKRO;165;KC Jatibarang ;Bandung ;F
4219;UNIT WIDASARI JATIBARANG;MIKRO;165;KC Jatibarang ;Bandung ;F
3295;UNIT WERU CIREBON ;MIKRO;107;KC Cirebon Kartini;Bandung ;F
3295;UNIT WERU CIREBON ;MIKRO;107;KC Cirebon Kartini;Bandung ;F
3295;UNIT WERU CIREBON ;MIKRO;107;KC Cirebon Kartini;Bandung ;F
4101;UNIT WARUNGKIARA CIBADAK;MIKRO;181;KC Cibadak;Bandung ;F
4101;UNIT WARUNGKIARA CIBADAK;MIKRO;181;KC Cibadak;Bandung ;F
4101;UNIT WARUNGKIARA CIBADAK;MIKRO;181;KC Cibadak;Bandung ;F
7849;UNIT WANTILAN SUBANG;MIKRO;123;KC Subang ;Bandung ;F
7849;UNIT WANTILAN SUBANG;MIKRO;123;KC Subang ;Bandung ;F
7849;UNIT WANTILAN SUBANG;MIKRO;123;KC Subang ;Bandung ;F
7849;UNIT WANTILAN SUBANG;MIKRO;123;KC Subang ;Bandung ;F
4357;UNIT WANAYASA PURWAKARTA;MIKRO;75;KC Purwakarta ;Bandung ;F
4357;UNIT WANAYASA PURWAKARTA;MIKRO;75;KC Purwakarta ;Bandung ;F
4357;UNIT WANAYASA PURWAKARTA;MIKRO;75;KC Purwakarta ;Bandung ;F
4357;UNIT WANAYASA PURWAKARTA;MIKRO;75;KC Purwakarta ;Bandung ;F
4183;UNIT WANARAJA GARUT ;MIKRO;25;KC Garut;Bandung ;F
4183;UNIT WANARAJA GARUT ;MIKRO;25;KC Garut;Bandung ;F
4183;UNIT WANARAJA GARUT ;MIKRO;25;KC Garut;Bandung ;F
4183;UNIT WANARAJA GARUT ;MIKRO;25;KC Garut;Bandung ;F
4148;UNIT WALED CIREBON GUNUNG JATI;MIKRO;406;KC Cirebon Gunung Jati;Bandung ;F
4148;UNIT WALED CIREBON GUNUNG JATI;MIKRO;406;KC Cirebon Gunung Jati;Bandung ;F
4148;UNIT WALED CIREBON GUNUNG JATI;MIKRO;406;KC Cirebon Gunung Jati;Bandung ;F
4149;UNIT WAHIDIN CIREBON;MIKRO;107;KC Cirebon Kartini;Bandung ;F
4441;UNIT WADO SUMEDANG;MIKRO;94;KC Sumedang ;Bandung ;F
4441;UNIT WADO SUMEDANG;MIKRO;94;KC Sumedang ;Bandung ;F
4441;UNIT WADO SUMEDANG;MIKRO;94;KC Sumedang ;Bandung ;F
893;UNIT UNPAD;MIKRO;94;KC Sumedang ;Bandung ;F
893;UNIT UNPAD;MIKRO;94;KC Sumedang ;Bandung ;F
893;UNIT UNPAD;MIKRO;94;KC Sumedang ;Bandung ;F
4427;UNIT UJUNG JAYA SUMEDANG;MIKRO;94;KC Sumedang ;Bandung ;F
4427;UNIT UJUNG JAYA SUMEDANG;MIKRO;94;KC Sumedang ;Bandung ;F
4427;UNIT UJUNG JAYA SUMEDANG;MIKRO;94;KC Sumedang ;Bandung ;F
3683;UNIT UJUNG BERUNG TIMUR BANDUN;MIKRO;354;KC Bandung A.H. Nasution;Bandung ;F
3683;UNIT UJUNG BERUNG TIMUR BANDUN;MIKRO;354;KC Bandung A.H. Nasution;Bandung ;F
747;UNIT UJUNG BERUNG BARAT BANDUN;MIKRO;354;KC Bandung A.H. Nasution;Bandung ;F
747;UNIT UJUNG BERUNG BARAT BANDUN;MIKRO;354;KC Bandung A.H. Nasution;Bandung ;F
7463;UNIT TURANGGA BANDUNG MARTADIN;MIKRO;389;KC Bandung Martadinata;Bandung ;F
7463;UNIT TURANGGA BANDUNG MARTADIN;MIKRO;389;KC Bandung Martadinata;Bandung ;F
7463;UNIT TURANGGA BANDUNG MARTADIN;MIKRO;389;KC Bandung Martadinata;Bandung ;F
4010;UNIT TUNGGILIS BANJAR ;MIKRO;162;KC Banjar ;Bandung ;F
4010;UNIT TUNGGILIS BANJAR ;MIKRO;162;KC Banjar ;Bandung ;F
4241;UNIT TULUNGAGUNG JATIBARANG ;MIKRO;165;KC Jatibarang ;Bandung ;F
4241;UNIT TULUNGAGUNG JATIBARANG ;MIKRO;165;KC Jatibarang ;Bandung ;F
4241;UNIT TULUNGAGUNG JATIBARANG ;MIKRO;165;KC Jatibarang ;Bandung ;F
4240;UNIT TUKDANA JATIBARANG ;MIKRO;165;KC Jatibarang ;Bandung ;F
4240;UNIT TUKDANA JATIBARANG ;MIKRO;165;KC Jatibarang ;Bandung ;F
4240;UNIT TUKDANA JATIBARANG ;MIKRO;165;KC Jatibarang ;Bandung ;F
4240;UNIT TUKDANA JATIBARANG ;MIKRO;165;KC Jatibarang ;Bandung ;F
4239;UNIT TUGU JATIBARANG;MIKRO;165;KC Jatibarang ;Bandung ;F
4239;UNIT TUGU JATIBARANG;MIKRO;165;KC Jatibarang ;Bandung ;F
4239;UNIT TUGU JATIBARANG;MIKRO;165;KC Jatibarang ;Bandung ;F
4239;UNIT TUGU JATIBARANG;MIKRO;165;KC Jatibarang ;Bandung ;F
4317;UNIT TONJONG MAJALENGKA ;MIKRO;46;KC Majalengka ;Bandung ;F
4317;UNIT TONJONG MAJALENGKA ;MIKRO;46;KC Majalengka ;Bandung ;F
4317;UNIT TONJONG MAJALENGKA ;MIKRO;46;KC Majalengka ;Bandung ;F
4317;UNIT TONJONG MAJALENGKA ;MIKRO;46;KC Majalengka ;Bandung ;F
4426;UNIT TOMO SUMEDANG;MIKRO;94;KC Sumedang ;Bandung ;F
4426;UNIT TOMO SUMEDANG;MIKRO;94;KC Sumedang ;Bandung ;F
4238;UNIT TENAJAR JATIBARANG ;MIKRO;165;KC Jatibarang ;Bandung ;F
4238;UNIT TENAJAR JATIBARANG ;MIKRO;165;KC Jatibarang ;Bandung ;F
4238;UNIT TENAJAR JATIBARANG ;MIKRO;165;KC Jatibarang ;Bandung ;F
4356;UNIT TEGALWARU PURWAKARTA ;MIKRO;75;KC Purwakarta ;Bandung ;F
4356;UNIT TEGALWARU PURWAKARTA ;MIKRO;75;KC Purwakarta ;Bandung ;F
4356;UNIT TEGALWARU PURWAKARTA ;MIKRO;75;KC Purwakarta ;Bandung ;F
7329;UNIT TEGAL BULEUD SUKABUMI;MIKRO;92;KC Sukabumi ;Bandung ;F
7329;UNIT TEGAL BULEUD SUKABUMI;MIKRO;92;KC Sukabumi ;Bandung ;F
7329;UNIT TEGAL BULEUD SUKABUMI;MIKRO;92;KC Sukabumi ;Bandung ;F
4469;UNIT TAWANGSARI TASIKMALAYA ;MIKRO;100;KC Tasikmalaya;Bandung ;F
4469;UNIT TAWANGSARI TASIKMALAYA ;MIKRO;100;KC Tasikmalaya;Bandung ;F
3459;UNIT TAROGONG GARUT ;MIKRO;25;KC Garut;Bandung ;F
3459;UNIT TAROGONG GARUT ;MIKRO;25;KC Garut;Bandung ;F
3459;UNIT TAROGONG GARUT ;MIKRO;25;KC Garut;Bandung ;F
4325;UNIT TARIKOLOT MAJALENGKA ;MIKRO;46;KC Majalengka ;Bandung ;F
4325;UNIT TARIKOLOT MAJALENGKA ;MIKRO;46;KC Majalengka ;Bandung ;F
4325;UNIT TARIKOLOT MAJALENGKA ;MIKRO;46;KC Majalengka ;Bandung ;F
4382;UNIT TARAJU SINGAPARNA;MIKRO;161;KC Singaparna ;Bandung ;F
4382;UNIT TARAJU SINGAPARNA;MIKRO;161;KC Singaparna ;Bandung ;F
4398;UNIT TANJUNGWANGI SUBANG;MIKRO;123;KC Subang ;Bandung ;F
4398;UNIT TANJUNGWANGI SUBANG;MIKRO;123;KC Subang ;Bandung ;F
4398;UNIT TANJUNGWANGI SUBANG;MIKRO;123;KC Subang ;Bandung ;F
4397;UNIT TANJUNGSIANG SUBANG;MIKRO;123;KC Subang ;Bandung ;F
4397;UNIT TANJUNGSIANG SUBANG;MIKRO;123;KC Subang ;Bandung ;F
3454;UNIT TANJUNGSARI SUMEDANG ;MIKRO;94;KC Sumedang ;Bandung ;F
3454;UNIT TANJUNGSARI SUMEDANG ;MIKRO;94;KC Sumedang ;Bandung ;F
3454;UNIT TANJUNGSARI SUMEDANG ;MIKRO;94;KC Sumedang ;Bandung ;F
4347;UNIT TANJUNGSARI PAMANUKAN;MIKRO;355;KC Pamanukan;Bandung ;F
4347;UNIT TANJUNGSARI PAMANUKAN;MIKRO;355;KC Pamanukan;Bandung ;F
4347;UNIT TANJUNGSARI PAMANUKAN;MIKRO;355;KC Pamanukan;Bandung ;F
4347;UNIT TANJUNGSARI PAMANUKAN;MIKRO;355;KC Pamanukan;Bandung ;F
4292;UNIT TANJUNGLAYA MAJALAYA ;MIKRO;132;KC Majalaya ;Bandung ;F
4292;UNIT TANJUNGLAYA MAJALAYA ;MIKRO;132;KC Majalaya ;Bandung ;F
4292;UNIT TANJUNGLAYA MAJALAYA ;MIKRO;132;KC Majalaya ;Bandung ;F
4381;UNIT TANJUNGJAYA SINGAPARNA ;MIKRO;161;KC Singaparna ;Bandung ;F
4381;UNIT TANJUNGJAYA SINGAPARNA ;MIKRO;161;KC Singaparna ;Bandung ;F
4381;UNIT TANJUNGJAYA SINGAPARNA ;MIKRO;161;KC Singaparna ;Bandung ;F
4396;UNIT TANJUNG SUBANG ;MIKRO;123;KC Subang ;Bandung ;F
4396;UNIT TANJUNG SUBANG ;MIKRO;123;KC Subang ;Bandung ;F
4396;UNIT TANJUNG SUBANG ;MIKRO;123;KC Subang ;Bandung ;F
4395;UNIT TANGGULUN SUBANG ;MIKRO;123;KC Subang ;Bandung ;F
4395;UNIT TANGGULUN SUBANG ;MIKRO;123;KC Subang ;Bandung ;F
4076;UNIT TANGGEUNG CIANJUR;MIKRO;105;KC Cianjur;Bandung ;F
4076;UNIT TANGGEUNG CIANJUR;MIKRO;105;KC Cianjur;Bandung ;F
4076;UNIT TANGGEUNG CIANJUR;MIKRO;105;KC Cianjur;Bandung ;F
4237;UNIT TAMBI JATIBARANG ;MIKRO;165;KC Jatibarang ;Bandung ;F
4237;UNIT TAMBI JATIBARANG ;MIKRO;165;KC Jatibarang ;Bandung ;F
4237;UNIT TAMBI JATIBARANG ;MIKRO;165;KC Jatibarang ;Bandung ;F
4346;UNIT TAMBAKDAHAN PAMANUKAN;MIKRO;355;KC Pamanukan;Bandung ;F
4346;UNIT TAMBAKDAHAN PAMANUKAN;MIKRO;355;KC Pamanukan;Bandung ;F
4346;UNIT TAMBAKDAHAN PAMANUKAN;MIKRO;355;KC Pamanukan;Bandung ;F
4346;UNIT TAMBAKDAHAN PAMANUKAN;MIKRO;355;KC Pamanukan;Bandung ;F
777;UNIT TAMANSARI BANDUNG N;MIKRO;337;KC Bandung Naripan;Bandung ;F
777;UNIT TAMANSARI BANDUNG N;MIKRO;337;KC Bandung Naripan;Bandung ;F
777;UNIT TAMANSARI BANDUNG N;MIKRO;337;KC Bandung Naripan;Bandung ;F
4316;UNIT TALAGA MAJALENGKA;MIKRO;46;KC Majalengka ;Bandung ;F
4316;UNIT TALAGA MAJALENGKA;MIKRO;46;KC Majalengka ;Bandung ;F
4316;UNIT TALAGA MAJALENGKA;MIKRO;46;KC Majalengka ;Bandung ;F
4412;UNIT TAKOKAK SUKABUMI ;MIKRO;92;KC Sukabumi ;Bandung ;F
4412;UNIT TAKOKAK SUKABUMI ;MIKRO;92;KC Sukabumi ;Bandung ;F
4412;UNIT TAKOKAK SUKABUMI ;MIKRO;92;KC Sukabumi ;Bandung ;F
4147;UNIT SUSUKAN CIREBON;MIKRO;107;KC Cirebon Kartini;Bandung ;F
4147;UNIT SUSUKAN CIREBON;MIKRO;107;KC Cirebon Kartini;Bandung ;F
4147;UNIT SUSUKAN CIREBON;MIKRO;107;KC Cirebon Kartini;Bandung ;F
990;UNIT SURAPATI BANDUNG AHN ;MIKRO;354;KC Bandung A.H. Nasution;Bandung ;F
990;UNIT SURAPATI BANDUNG AHN ;MIKRO;354;KC Bandung A.H. Nasution;Bandung ;F
990;UNIT SURAPATI BANDUNG AHN ;MIKRO;354;KC Bandung A.H. Nasution;Bandung ;F
3455;UNIT SURADE SUKABUMI;MIKRO;92;KC Sukabumi ;Bandung ;F
